what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1325360630242
locale,sysinfo,,,"en_US",1325360630242
processors,sysinfo,,,"4",1325360630242
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1325360630242
java.runtime.version,sysinfo,,,"1.6.0_17-b04",1325360630242
java.specification.name,sysinfo,,,"Java Platform API Specification",1325360630242
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1325360630242
java.specification.version,sysinfo,,,"1.6",1325360630242
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1325360630242
java.version,sysinfo,,,"1.6.0_17",1325360630242
java.vm.info,sysinfo,,,"mixed mode",1325360630242
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1325360630242
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1325360630242
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1325360630242
java.vm.specification.version,sysinfo,,,"1.0",1325360630242
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1325360630242
java.vm.version,sysinfo,,,"14.3-b01",1325360630242
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1325360630741
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1325360630800
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1325360631041
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1325360704300
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.100.v201101252155,"org.eclipse.jst.ws.jaxws.dom.integration",1325360704331
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1325360704346
started,bundle,org.eclipse.jst.servlet.ui,1.1.501.v201108220630,"org.eclipse.jst.servlet.ui",1325360704471
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1325360719650
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1325360719666
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1325360719728
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1325360719728
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1325360720196
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325360728121
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325360757714
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1325360772269
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325360776668
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325360812351
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325360817827
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325360832023
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1325360841539
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325360860181
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325360922690
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325360941223
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325360943641
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1325360943657
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325360954062
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325360954296
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1325360955482
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1325361004996
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325361006993
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325361007196
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325361011142
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325361055837
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325361057225
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325361523026
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325361526458
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325361528034
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325361528393
